n	lnL	lambda	mu	psi	rho
74900	17.0228	2.8343	0.566402	2.69527	0.223622
75000	21.786	4.37299	1.02729	1.46906	0.198327
75100	17.9033	3.56626	1.16809	1.04529	0.301332
75200	20.6733	4.00906	0.794541	1.79601	0.438973
75300	22.5486	4.4607	0.36039	1.71376	0.183632
75400	17.251	3.13207	0.341939	1.28702	0.232335
75500	18.8123	3.31516	0.113719	2.11054	0.179152
75600	20.243	3.82912	0.609048	1.60695	0.392774
75700	16.1092	2.98301	1.71809	1.33741	0.421424
75800	23.3421	4.68623	0.810069	1.91244	0.203994
75900	20.2708	3.55652	1.42359	2.72685	0.315397
76000	22.3595	5.18737	0.247435	1.20144	0.37104
76100	18.0021	3.33354	0.598672	2.82113	0.154649
76200	22.5513	4.35619	0.200275	1.75177	0.285044
76300	20.5229	3.61321	0.0318296	2.58692	0.336582
76400	19.7279	3.99811	1.13016	1.1414	0.219439
76500	16.3883	2.63838	0.172901	2.45191	0.239193
76600	11.6557	2.63282	1.5253	0.855916	0.492915
76700	20.0139	3.88213	0.781911	1.56674	0.429015
76800	19.7419	3.35218	0.336186	2.29653	0.295365
76900	18.7386	3.19739	0.326732	2.20466	0.404987
77000	18.8226	3.18632	0.75741	1.9932	0.338105
77100	22.5352	4.28385	0.509491	2.42054	0.328859
77200	20.5872	3.98192	0.211694	1.30978	0.302925
77300	19.3792	3.44112	0.778286	1.88236	0.221874
